destino,actividad1,precio1,actividad2,precio2,similitud_%
Cartagena,Tour de un Día a Playa Blanca desde Cartagena con Acceso a Zonas Comunes de un Hostal,$160.000,Excursión a Playa Blanca,291.900 COP,74.95
Valle de Cocora,"Senderismo en La Carbonera, Quindío desde Salento",$247.000,Senderismo por el Camino Real hasta Guane,80.000 COP,74.79
Salento,"Senderismo en La Carbonera, Quindío desde Salento",$247.000,Senderismo por el Camino Real hasta Guane,80.000 COP,74.79
Nemocón,Excursión de 1 día a la Mina de sal de Nemocón y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,74.26
Zipaquirá,Excursión de 1 día a la Mina de sal de Nemocón y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,74.26
Riohacha,Experiencia La Guajira Todo un Encanto. 4 días 3 noches.,$1.228.500,Vuelo en parapente por Guatapé,350.000 COP,73.78
Salento,Intento de Cima del Nevado del Tolima Saliendo desde Salento,$1.391.000,Ruta privada de trekking de 4 días por el Nevado del Tolima,2.260.000 COP,73.53
Amazonas,Pasadía Parque Mundo Amazónico + Charla con Nativo Ancestral,$150.000,Senderismo por la selva amazónica + Comunidad de Santa Teresita,75.000 COP,73.52
Leticia,Pasadía Parque Mundo Amazónico + Charla con Nativo Ancestral,$150.000,Senderismo por la selva amazónica + Comunidad de Santa Teresita,75.000 COP,73.52
Alcalá,Caminata a lo largo del sendero de la cascada en Alcalá,$60.000,Excursión a las cascadas del cañón del río Guatapé,280.000 COP,73.48
Cartagena,Recorrido en Yate Master de una hora y media por la Bahía de Cartagena,$125.000,Tour de las leyendas de Cartagena,345.000 COP,73.22
Jardín,"Canyoning 5 Cascadas en Jardín, Antioquia",$180.000,Trekking por el Cerro Pan de Azúcar,125.000 COP,73.01
Ansermanuevo,Descenso nivel intermedio por el Cañón de la Araña en Ansermanuevo,$155.000,Trekking por el Cerro Pan de Azúcar,125.000 COP,72.71
Manizales,Excursión Natural de 4 días y 3 noches en el Departamento de Caldas,$1.634.000,Excursión a la Reserva Natural Entreaguas,660.000 COP,72.51
Manizales,Excursión de 3 días y 2 noches en Manizales,$995.000,Excursión nocturna a los termales de Salinas,"412.388,70 COP",72.42
